,Voltage,Current
0,0.7655677655677655,0.011970600205894322
1,0.7655677655677655,0.011970600205894322
2,0.7655677655677655,0.011970600205894322
3,0.7655677655677655,0.011970600205894322
4,0.7667887667887668,0.011970600205894322
5,0.7667887667887668,0.011970600205894322
6,0.7667887667887668,0.017955900308841487
7,0.7667887667887668,0.011970600205894322
8,0.7667887667887668,0.011970600205894322
9,0.7655677655677655,0.011970600205894322
10,0.7655677655677655,0.017955900308841487
11,0.7655677655677655,0.005985300102947161
12,0.7643467643467643,0.011970600205894322
13,0.7655677655677655,0.011970600205894322
14,0.7655677655677655,0.011970600205894322
15,0.7655677655677655,0.017955900308841487
16,0.7643467643467643,0.017955900308841487
17,0.7655677655677655,0.011970600205894322
18,0.7655677655677655,0.011970600205894322
19,0.7655677655677655,0.011970600205894322
20,0.7643467643467643,0.011970600205894322
21,0.7643467643467643,0.017955900308841487
22,0.7667887667887668,0.017955900308841487
23,0.7643467643467643,0.017955900308841487
24,0.7643467643467643,0.011970600205894322
25,0.7655677655677655,0.011970600205894322
26,0.7655677655677655,0.017955900308841487
27,0.7643467643467643,0.011970600205894322
28,0.7643467643467643,0.017955900308841487
29,0.7643467643467643,0.011970600205894322
30,0.7631257631257631,0.011970600205894322
31,0.7631257631257631,0.017955900308841487
32,0.7631257631257631,0.017955900308841487
33,0.7631257631257631,0.011970600205894322
34,0.7631257631257631,0.011970600205894322
35,0.7631257631257631,0.011970600205894322
36,0.7631257631257631,0.017955900308841487
37,0.7631257631257631,0.017955900308841487
38,0.7619047619047619,0.011970600205894322
39,0.7619047619047619,0.017955900308841487
40,0.7619047619047619,0.011970600205894322
41,0.7619047619047619,0.017955900308841487
42,0.7606837606837606,0.011970600205894322
43,0.7606837606837606,0.017955900308841487
44,0.7606837606837606,0.011970600205894322
45,0.7606837606837606,0.017955900308841487
46,0.7606837606837606,0.017955900308841487
47,0.7606837606837606,0.011970600205894322
48,0.7606837606837606,0.017955900308841487
49,0.7606837606837606,0.017955900308841487
50,0.7606837606837606,0.017955900308841487
51,0.7619047619047619,0.011970600205894322
52,0.7606837606837606,0.017955900308841487
